t,w,d
1,0.0786666666666667,0.684511335492475
2,0.0866666666666667,0.644122690036197
3,0.117333333333333,0.6130691560297
4,0.258666666666667,0.599733282530006
5,0.361333333333333,0.588874071251667
6,0.566666666666667,0.5980186702229
7,0.650666666666667,0.626786054486569
8,0.566666666666667,0.651743189178891
9,0.484,0.706039245570585
10,0.548,0.787007048961707
11,0.757333333333333,0.839016955610593
12,0.710666666666667,0.852733854067441
13,0.870666666666667,0.870642027052772
14,0.932,0.834254143646409
15,0.966666666666667,0.816536483139646
16,1,0.819394170318156
17,0.869333333333333,0.874071251666984
18,0.665333333333333,1
19,0.656,0.983615926843208
20,0.561333333333333,0.936368832158506
21,0.565333333333333,0.887597637645266
22,0.556,0.809297008954087
23,0.724,0.74585635359116
24,0.84,0.733473042484283
