t,plant_id,solar_cf
1,103930,0.0
1,103932,0.0
1,105646,0.0
1,105648,0.0
1,106203,0.0
1,122399,0.0
1,124580,0.0
1,124614,0.0
1,125672,0.0
1,125696,0.0
1,126219,0.0
1,127270,0.0
1,127271,0.0
1,127272,0.0
1,127790,0.0
1,128324,0.0
1,128328,0.0
1,128893,0.0
1,129443,0.0
1,130582,0.0
1,131125,0.0
1,131149,0.0
1,131153,0.0
1,131732,0.0
1,132308,0.0
1,132875,0.0
1,132876,0.0
1,132877,0.0
1,132878,0.0
1,132879,0.0
1,133457,0.0
1,134052,0.0
1,134053,0.0
1,134054,0.0
1,134651,0.0
1,134655,0.0
1,134656,0.0
1,134661,0.0
1,135235,0.0
1,135236,0.0
1,135239,0.0
1,135254,0.0
1,135800,0.0
1,135801,0.0
1,135804,0.0
1,135808,0.0
1,135814,0.0
1,136365,0.0
1,136934,0.0
1,136936,0.0
1,138109,0.0
1,138700,0.0
1,139264,0.0
1,139268,0.0
1,139278,0.0
1,139850,0.0
1,139852,0.0
1,139855,0.0
1,139860,0.0
1,139861,0.0
1,139874,0.0
1,140432,0.0
1,140433,0.0
1,140435,0.0
1,140436,0.0
1,141004,0.0
1,141007,0.0
1,141015,0.0
1,141016,0.0
1,141559,0.0
1,141560,0.0
1,141561,0.0
1,141565,0.0
1,141566,0.0
1,141568,0.0
1,142109,0.0
1,142112,0.0
1,142114,0.0
1,142659,0.0
1,143738,0.0
1,145282,0.0
1,146833,0.0
1,147338,0.0
1,148845,0.0
1,149362,0.0
1,149880,0.0
1,149885,0.0
1,150913,0.0
1,151931,0.0
1,156040,0.0
1,159845,0.0
1,161279,0.0
1,161280,0.0
1,161776,0.0
1,161782,0.0
1,87121,0.0
1,93327,0.0
1,96330,0.0
1,96933,0.0
1,99270,0.0
2,103930,0.0
2,103932,0.0
2,105646,0.0
2,105648,0.0
2,106203,0.0
2,122399,0.0
2,124580,0.0
2,124614,0.0
2,125672,0.0
2,125696,0.0
2,126219,0.0
2,127270,0.0
2,127271,0.0
2,127272,0.0
2,127790,0.0
2,128324,0.0
2,128328,0.0
2,128893,0.0
2,129443,0.0
2,130582,0.0
2,131125,0.0
2,131149,0.0
2,131153,0.0
2,131732,0.0
2,132308,0.0
2,132875,0.0
2,132876,0.0
2,132877,0.0
2,132878,0.0
2,132879,0.0
2,133457,0.0
