line,bus,from_w,to_w
L1,1,1,0
L1,2,0,1
L1,3,0,0
L1,4,0,0
L1,5,0,0
L1,6,0,0
L1,7,0,0
L1,8,0,0
L1,9,0,0
L1,10,0,0
L1,11,0,0
L1,12,0,0
L1,13,0,0
L1,14,0,0
L1,15,0,0
L1,16,0,0
L1,17,0,0
L1,18,0,0
L1,19,0,0
L1,20,0,0
L1,21,0,0
L1,22,0,0
L1,23,0,0
L1,24,0,0
L2,1,1,0
L2,2,0,0
L2,3,0,1
L2,4,0,0
L2,5,0,0
L2,6,0,0
L2,7,0,0
L2,8,0,0
L2,9,0,0
L2,10,0,0
L2,11,0,0
L2,12,0,0
L2,13,0,0
L2,14,0,0
L2,15,0,0
L2,16,0,0
L2,17,0,0
L2,18,0,0
L2,19,0,0
L2,20,0,0
L2,21,0,0
L2,22,0,0
L2,23,0,0
L2,24,0,0
L3,1,1,0
L3,2,0,0
L3,3,0,0
L3,4,0,0
L3,5,0,1
L3,6,0,0
L3,7,0,0
L3,8,0,0
L3,9,0,0
L3,10,0,0
L3,11,0,0
L3,12,0,0
L3,13,0,0
L3,14,0,0
L3,15,0,0
L3,16,0,0
L3,17,0,0
L3,18,0,0
L3,19,0,0
L3,20,0,0
L3,21,0,0
L3,22,0,0
L3,23,0,0
L3,24,0,0
L4,1,0,0
L4,2,1,0
L4,3,0,0
L4,4,0,1
L4,5,0,0
L4,6,0,0
L4,7,0,0
L4,8,0,0
L4,9,0,0
L4,10,0,0
L4,11,0,0
L4,12,0,0
L4,13,0,0
L4,14,0,0
L4,15,0,0
L4,16,0,0
L4,17,0,0
L4,18,0,0
L4,19,0,0
L4,20,0,0
L4,21,0,0
L4,22,0,0
L4,23,0,0
L4,24,0,0
L5,1,0,0
L5,2,1,0
L5,3,0,0
L5,4,0,0
L5,5,0,0
L5,6,0,1
L5,7,0,0
L5,8,0,0
L5,9,0,0
L5,10,0,0
L5,11,0,0
L5,12,0,0
L5,13,0,0
L5,14,0,0
L5,15,0,0
L5,16,0,0
L5,17,0,0
L5,18,0,0
L5,19,0,0
L5,20,0,0
L5,21,0,0
L5,22,0,0
L5,23,0,0
L5,24,0,0
L6,1,0,0
L6,2,0,0
L6,3,1,0
L6,4,0,0
L6,5,0,0
L6,6,0,0
L6,7,0,0
L6,8,0,0
L6,9,0,1
L6,10,0,0
L6,11,0,0
L6,12,0,0
L6,13,0,0
L6,14,0,0
L6,15,0,0
L6,16,0,0
L6,17,0,0
L6,18,0,0
L6,19,0,0
L6,20,0,0
L6,21,0,0
L6,22,0,0
L6,23,0,0
L6,24,0,0
L7,1,0,0
L7,2,0,0
L7,3,1,0
L7,4,0,0
L7,5,0,0
L7,6,0,0
L7,7,0,0
L7,8,0,0
L7,9,0,0
L7,10,0,0
L7,11,0,0
L7,12,0,0
L7,13,0,0
L7,14,0,0
L7,15,0,0
L7,16,0,0
L7,17,0,0
L7,18,0,0
L7,19,0,0
L7,20,0,0
L7,21,0,0
L7,22,0,0
L7,23,0,0
L7,24,0,1
L8,1,0,0
L8,2,0,0
L8,3,0,0
L8,4,1,0
L8,5,0,0
L8,6,0,0
L8,7,0,0
L8,8,0,0
L8,9,0,1
L8,10,0,0
L8,11,0,0
L8,12,0,0
L8,13,0,0
L8,14,0,0
L8,15,0,0
L8,16,0,0
L8,17,0,0
L8,18,0,0
L8,19,0,0
L8,20,0,0
L8,21,0,0
L8,22,0,0
L8,23,0,0
L8,24,0,0
